entries, serialized_size, dump_time, load_time
1024, 1.5184, 0.2744, 0.0990
2048, 3.0383, 0.5889, 0.2413
3072, 4.5583, 0.7866, 0.4743
4096, 6.0766, 1.0786, 0.8546
5120, 7.5966, 1.2391, 1.3290
6144, 9.1162, 1.5769, 1.8331
7168, 10.6364, 1.8007, 2.3280
8192, 12.1555, 2.1653, 3.0420
9216, 13.6739, 2.3894, 3.8439
10240, 15.1946, 2.5625, 4.8326
11264, 16.7157, 2.8074, 6.3834
12288, 18.2368, 2.9264, 7.0651
13312, 19.7566, 3.2819, 8.4378
14336, 21.2782, 3.5697, 10.2921
15360, 22.7970, 3.7419, 12.4442
16384, 24.3170, 3.6523, 13.8953
