entries, serialized_size, dump_time, load_time
1024, 1.3877, 0.2249, 0.2492
2048, 2.7754, 0.4537, 0.5181
3072, 4.1631, 0.7855, 0.9552
4096, 5.5508, 0.9023, 1.1657
5120, 6.9385, 1.0153, 1.9133
6144, 8.3262, 1.5077, 2.3851
7168, 9.7139, 1.5937, 3.2929
8192, 11.1016, 1.8058, 3.9422
9216, 12.4893, 1.8934, 4.9845
10240, 13.8770, 2.1528, 6.4775
11264, 15.2647, 2.1893, 6.7819
12288, 16.6524, 3.0330, 8.6251
13312, 18.0400, 3.0707, 10.0733
14336, 19.4277, 3.2899, 12.1749
15360, 20.8154, 3.4166, 13.8056
16384, 22.2031, 3.5238, 15.1958
