entries, serialized_size, dump_time, load_time
1024, 1.4936, 0.0423, 0.0230
2048, 2.9873, 0.0978, 0.0911
3072, 4.4809, 0.1522, 0.1207
4096, 5.9743, 0.2731, 0.3679
5120, 7.4679, 0.2998, 0.2084
6144, 8.9612, 0.3588, 0.2996
7168, 10.4551, 0.4092, 0.3298
8192, 11.9487, 0.4886, 0.3720
9216, 13.4423, 0.6028, 0.5701
10240, 14.9358, 0.5854, 0.5681
11264, 16.4293, 0.6914, 1.1438
12288, 17.9233, 0.8397, 1.9436
13312, 19.4166, 0.9443, 2.3948
14336, 20.9101, 1.0176, 15.1283
15360, 22.4034, 1.0548, 13.6678
16384, 23.8971, 1.1202, 16.9636
