entries, serialized_size, dump_time, load_time
1024, 1.5184, 0.0305, 0.0166
2048, 3.0383, 0.0689, 0.0371
3072, 4.5583, 0.1181, 0.0582
4096, 6.0766, 0.1479, 0.0868
5120, 7.5966, 0.1769, 0.1123
6144, 9.1162, 0.1940, 0.1324
7168, 10.6364, 0.2217, 0.1584
8192, 12.1555, 0.2528, 0.1819
9216, 13.6739, 0.2990, 0.2148
10240, 15.1946, 0.3140, 0.2682
11264, 16.7157, 0.3479, 0.2805
12288, 18.2368, 0.3788, 0.3119
13312, 19.7566, 0.4046, 0.3464
14336, 21.2782, 0.4621, 0.3978
15360, 22.7970, 0.4883, 0.4351
16384, 24.3170, 0.5296, 0.4615
