entries, serialized_size, dump_time, load_time
1024, 1.5425, 0.0246, 0.0249
2048, 3.0849, 0.0470, 0.0559
3072, 4.6274, 0.0721, 0.1063
4096, 6.1696, 0.1017, 0.1254
5120, 7.7121, 0.1262, 0.1631
6144, 9.2542, 0.1423, 0.1977
7168, 10.7969, 0.1844, 0.2402
8192, 12.3393, 0.1956, 0.2714
9216, 13.8817, 0.2250, 0.3275
10240, 15.4241, 0.2436, 0.3636
11264, 16.9664, 0.2680, 0.4002
12288, 18.5093, 0.2915, 0.4458
13312, 20.0514, 0.3109, 0.4954
14336, 21.5937, 0.3346, 0.5722
15360, 23.1358, 0.3728, 0.6260
16384, 24.6784, 0.4050, 0.6715
